French,English
venez,come
frère,brother
rester,to stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,take
mois,month
eux,them
mec,guy
yeux,eyes
laisse,leash
super,Great
belle,beautiful
longtemps,long time
police,police
eau,water
heures,time
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,Earth
place,square
tué,kill
type,type
main,hand
pardon,sorry
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,toward
mme,Mrs
prie,pray
devant,before
trouve,find
partie,part
suite,following
compris,understood
matin,morning
leurs,their
aucun,no
arrivé,come
dessus,above
chérie,Dear
mettre,to put
aide,aid
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,kind
aimerais,would like to
droit,law
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,fat
côté,side
venu,came
loin,far
laisser,let
donner,to give
jouer,to play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,to be able to
aura,will have
mourir,to die
dernière,last
donné,given
ia,IA
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,put
film,movie
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,Mrs
femmes,women
affaire,case
